[2024-08-14 14:58:14,880] 4 root -INFO -this is my error
[2024-08-14 18:53:08,369] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 18:53:15,227] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:14:13,719] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:14:18,673] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:16:24,174] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:16:28,693] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:17:37,390] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:17:43,123] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:21:57,180] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:22:02,927] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:24:33,240] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:24:38,355] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:27:25,706] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:27:31,309] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:29:27,368] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:29:31,622] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:31:00,932] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-14 19:31:07,613] 1026 httpx -INFO -HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
